Date,Region,demand_MU
1/1/2013,Gujarat,231.1
1/1/2013,Maharashtra,353.1
1/1/2013,Tamil Nadu,245.3
1/1/2013,Uttar Pradesh,219.2
1/2/2013,Gujarat,237.5
1/2/2013,Maharashtra,361.7
1/2/2013,Tamil Nadu,247.7
1/2/2013,Uttar Pradesh,214.9
1/3/2013,Gujarat,241.8
1/3/2013,Maharashtra,357.7
1/3/2013,Tamil Nadu,253.8
1/3/2013,Uttar Pradesh,227.2
1/4/2013,Gujarat,242.2
1/4/2013,Maharashtra,365
1/4/2013,Tamil Nadu,252.2
1/4/2013,Uttar Pradesh,229.2
1/5/2013,Gujarat,234.5
1/5/2013,Maharashtra,356.7
1/5/2013,Tamil Nadu,243.9
1/5/2013,Uttar Pradesh,219.6
1/6/2013,Gujarat,238.7
1/6/2013,Maharashtra,362.5
1/6/2013,Tamil Nadu,254.5
1/6/2013,Uttar Pradesh,225
1/7/2013,Gujarat,232.9
1/7/2013,Maharashtra,365.9
1/7/2013,Tamil Nadu,262.3
1/7/2013,Uttar Pradesh,219.1
3/31/2013,Gujarat,249.9
3/31/2013,Maharashtra,337.8
3/31/2013,Tamil Nadu,223.2
3/31/2013,Uttar Pradesh,195
4/1/2013,Gujarat,246.1
4/1/2013,Maharashtra,357.5
4/1/2013,Tamil Nadu,234.4
4/1/2013,Uttar Pradesh,192.4
4/2/2013,Gujarat,250.8
4/2/2013,Maharashtra,365
4/2/2013,Tamil Nadu,229.4
4/2/2013,Uttar Pradesh,192.4
4/3/2013,Gujarat,251.4
4/3/2013,Maharashtra,366.5
4/3/2013,Tamil Nadu,224
4/3/2013,Uttar Pradesh,197.3
4/4/2013,Gujarat,256.1
4/4/2013,Maharashtra,362.5
4/4/2013,Tamil Nadu,227.3
4/4/2013,Uttar Pradesh,194.8
4/5/2013,Gujarat,260.5
4/5/2013,Maharashtra,359.6
4/5/2013,Tamil Nadu,230.2
4/5/2013,Uttar Pradesh,187.3
4/6/2013,Gujarat,262.3
4/6/2013,Maharashtra,356.6
4/6/2013,Tamil Nadu,241.3
4/6/2013,Uttar Pradesh,197.7
4/7/2013,Gujarat,252.2
4/7/2013,Maharashtra,353.3
4/7/2013,Tamil Nadu,227.2
4/7/2013,Uttar Pradesh,201.8
4/8/2013,Gujarat,261.7
4/8/2013,Maharashtra,372.1
4/8/2013,Tamil Nadu,227.8
4/8/2013,Uttar Pradesh,204.6
4/9/2013,Gujarat,264.3
4/9/2013,Maharashtra,372.4
4/9/2013,Tamil Nadu,233.7
4/9/2013,Uttar Pradesh,201.2
4/10/2013,Gujarat,262.9
4/10/2013,Maharashtra,374
4/10/2013,Tamil Nadu,236.7
4/10/2013,Uttar Pradesh,195.4
4/11/2013,Gujarat,264.8
4/11/2013,Maharashtra,361.7
4/11/2013,Tamil Nadu,233.7
4/11/2013,Uttar Pradesh,199.3
4/12/2013,Gujarat,267.5
4/12/2013,Maharashtra,362.5
4/12/2013,Tamil Nadu,228.9
4/12/2013,Uttar Pradesh,206.7
4/13/2013,Gujarat,267
4/13/2013,Maharashtra,367.9
4/13/2013,Tamil Nadu,225.1
4/13/2013,Uttar Pradesh,211.8
4/14/2013,Gujarat,258.7
4/14/2013,Maharashtra,360.1
4/14/2013,Tamil Nadu,237.2
4/14/2013,Uttar Pradesh,210
4/15/2013,Gujarat,269.9
4/15/2013,Maharashtra,373.7
4/15/2013,Tamil Nadu,224.3
4/15/2013,Uttar Pradesh,217.5
4/16/2013,Gujarat,269.8
4/16/2013,Maharashtra,368.4
4/16/2013,Tamil Nadu,246.3
4/16/2013,Uttar Pradesh,218.6
4/17/2013,Gujarat,267.9
4/17/2013,Maharashtra,368.6
4/17/2013,Tamil Nadu,241.1
4/17/2013,Uttar Pradesh,220.9
4/18/2013,Gujarat,264.8
4/18/2013,Maharashtra,361
4/18/2013,Tamil Nadu,243.7
4/18/2013,Uttar Pradesh,216
4/19/2013,Gujarat,255.8
4/19/2013,Maharashtra,352.8
4/19/2013,Tamil Nadu,236.4
4/19/2013,Uttar Pradesh,216
4/20/2013,Gujarat,230.9
4/20/2013,Maharashtra,357.5
4/20/2013,Tamil Nadu,236
4/20/2013,Uttar Pradesh,215.7
4/21/2013,Gujarat,237.1
4/21/2013,Maharashtra,354
4/21/2013,Tamil Nadu,230.3
4/21/2013,Uttar Pradesh,208.1
4/22/2013,Gujarat,244.4
4/22/2013,Maharashtra,365.7
4/22/2013,Tamil Nadu,232.6
4/22/2013,Uttar Pradesh,212.1
